x_0, x_1, x_2, x_3, x_4, u_0, u_1, u_2, u_3, u_4, 
0.000000, 0.000000, 0.000000, -400.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
0.000000, 0.000000, 0.000000, -400.000000, 0.000000, -0.131954, 0.052535, -0.021896, 0.051728, 0.030457, 
0.189824, 0.221132, 0.689224, -399.723267, -0.153748, 0.013629, -0.056930, -0.003317, -0.023261, -0.000317, 
0.149118, 0.320716, -0.163422, -392.317963, 0.015880, -0.070321, 0.014350, -0.030998, 0.014292, -0.003458, 
0.107738, 0.344238, 0.196972, -378.598907, -0.081936, 0.018170, -0.035292, 0.014959, -0.015413, 0.007588, 
0.034915, 0.330783, -0.174226, -360.863129, 0.021171, -0.047443, 0.022692, -0.025002, 0.014305, -0.002002, 
0.045492, 0.351459, 0.189044, -341.522461, -0.055279, 0.031878, -0.031465, 0.019538, -0.014334, 0.007841, 
-0.001158, 0.333826, -0.185297, -320.618988, 0.037143, -0.039869, 0.025261, -0.022337, 0.014135, -0.001492, 
0.023961, 0.350950, 0.183660, -299.530457, -0.046454, 0.035006, -0.029050, 0.019628, -0.012488, 0.006365, 
-0.011787, 0.333863, -0.181066, -277.726929, 0.040788, -0.036616, 0.025789, -0.021098, 0.014052, -0.001279, 
0.017487, 0.350253, 0.177778, -256.162750, -0.042663, 0.034949, -0.027651, 0.019036, -0.010973, 0.004900, 
-0.014309, 0.333850, -0.175173, -234.131561, 0.040721, -0.034833, 0.025064, -0.020033, 0.013650, -0.001123, 
0.015370, 0.349694, 0.171782, -212.446259, -0.040586, 0.033639, -0.026040, 0.017758, -0.009266, 0.003292, 
-0.014005, 0.334577, -0.167070, -190.368958, 0.039195, -0.032874, 0.023226, -0.016200, 0.009196, -0.000907, 
0.014073, 0.349226, 0.162375, -168.635193, -0.038304, 0.031434, -0.021072, 0.011498, -0.005865, 0.001697, 
-0.012825, 0.335697, -0.155575, -146.548523, 0.036626, -0.025304, 0.013727, -0.009411, 0.004205, -0.000692, 
0.005521, 0.340370, 0.123265, -124.783394, -0.029484, 0.018231, -0.011536, 0.004714, -0.002586, 0.000059, 
-0.002872, 0.341276, -0.083572, -102.952293, 0.021242, -0.013405, 0.004790, -0.001023, 0.000760, 0.000101, 
0.003660, 0.342120, 0.061257, -81.121895, -0.015619, 0.014451, 0.012095, 0.010749, 0.006310, 0.002900, 
-0.008963, 0.333228, -0.070597, -59.237156, 0.016838, 0.033403, 0.028523, 0.021567, 0.012386, 0.005914, 
-0.062819, 0.261185, -0.175399, -37.720352, 0.038920, 0.047680, 0.039034, 0.027290, 0.015223, 0.007522, 
-0.115011, 0.155007, -0.211204, -18.721252, 0.055555, 0.051954, 0.040396, 0.026446, 0.014416, 0.007327, 
-0.140081, 0.049546, -0.186821, -4.315043, 0.060534, 0.045705, 0.033531, 0.020491, 0.010888, 0.005708, 
-0.132751, -0.030421, -0.125977, 4.511371, 0.053254, 0.032316, 0.021877, 0.012076, 0.006155, 0.003392, 
-0.100858, -0.073973, -0.054853, 8.061784, 0.037654, 0.016573, 0.009387, 0.003842, 0.001661, 0.001111, 
-0.057846, -0.082647, 0.005675, 7.613842, 0.019310, 0.002699, -0.000818, -0.002348, -0.001617, -0.000616, 
-0.016749, -0.066178, 0.043965, 4.882188, 0.003144, -0.006710, -0.007082, -0.005692, -0.003293, -0.001558, 
0.013491, -0.037418, 0.057734, 1.500374, -0.007818, -0.010915, -0.009220, -0.006335, -0.003501, -0.001752, 
0.029257, -0.008060, 0.051672, -1.333278, -0.012718, -0.010679, -0.008123, -0.005046, -0.002693, -0.001406, 
0.031617, 0.013960, 0.033987, -2.997366, -0.012443, -0.007609, -0.005190, -0.002823, -0.001426, -0.000795, 
0.024607, 0.025262, 0.013158, -3.403201, -0.008866, -0.003485, -0.001820, -0.000568, -0.000191, -0.000170, 
0.013270, 0.026382, -0.004331, -2.833190, -0.004061, 0.000243, 0.000951, 0.001113, 0.000699, 0.000299, 
0.002060, 0.020340, -0.015011, -1.739827, 0.000283, 0.002719, 0.002587, 0.001965, 0.001121, 0.000540, 
-0.006100, 0.011034, -0.018326, -0.568846, 0.003168, 0.003698, 0.003028, 0.002035, 0.001117, 0.000563, 
-0.010058, 0.001936, -0.015820, 0.356434, 0.004309, 0.003409, 0.002547, 0.001559, 0.000827, 0.000435, 
-0.010145, -0.004670, -0.010045, 0.880207, 0.003972, 0.002339, 0.001568, 0.000837, 0.000419, 0.000236, 
-0.007594, -0.007891, -0.003566, 1.000506, 0.002725, 0.001018, 0.000506, 0.000136, 0.000037, 0.000042, 
-0.003924, -0.008006, 0.001708, 0.819793, 0.001186, -0.000131, -0.000337, -0.000369, -0.000229, -0.000099, 
-0.000447, -0.006005, 0.004807, 0.484465, -0.000153, -0.000868, -0.000815, -0.000612, -0.000348, -0.000168, 
0.002000, -0.003101, 0.005642, 0.132685, -0.001011, -0.001136, -0.000924, -0.000617, -0.000338, -0.000171, 
0.003123, -0.000345, 0.004739, -0.138625, -0.001324, -0.001022, -0.000758, -0.000459, -0.000243, -0.000128, 
0.003066, 0.001598, 0.002903, -0.285313, -0.001190, -0.000679, -0.000449, -0.000235, -0.000116, -0.000066, 
0.002232, 0.002489, 0.000915, -0.310096, -0.000791, -0.000273, -0.000125, -0.000022, -0.000001, -0.000007, 
0.001091, 0.002443, -0.000658, -0.246454, -0.000318, 0.000071, 0.000125, 0.000126, 0.000077, 0.000034, 
0.000042, 0.001779, -0.001544, -0.139846, 0.000083, 0.000284, 0.000261, 0.000193, 0.000109, 0.000053, 
-0.000675, 0.000871, -0.001740, -0.031980, 0.000331, 0.000354, 0.000285, 0.000188, 0.000103, 0.000052, 
-0.000981, 0.000035, -0.001420, 0.048777, 0.000412, 0.000309, 0.000227, 0.000136, 0.000072, 0.000038, 
-0.000933, -0.000536, -0.000837, 0.090386, 0.000360, 0.000198, 0.000129, 0.000066, 0.000032, 0.000019, 
-0.000659, -0.000780, -0.000228, 0.094901, 0.000231, 0.000073, 0.000030, 0.000001, -0.000003, 0.000001, 
